Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
chandrapur,1.760192182,0.535308039,1.224884143
yavatmal,0.98190471,0.983855741,0.001951031
jalna,0.710994286,0.649960977,0.061033309
ahmadnagar,0.691347983,0.697616588,0.006268605
hingoli,1.332394248,1.334570744,0.002176496
nanded,1.586913636,0.436541633,1.150372003
parbhani,3.612234955,0.631474073,2.980760882
pune,1.079353461,1.091416421,0.01206296
bid,0.847814579,0.573485427,0.274329152
mumbai,0.013175876,0.012175873,0.001000003
latur,0.559348532,0.350302784,0.209045748
osmanabad,0.279521656,0.27922672,0.000294936
solapur,1.684216461,0.761165008,0.923051453
satara,0.886672906,0.88365251,0.003020396
ratnagiri,1.554240455,0.978975411,0.575265044
sangli,0.816411266,0.371511861,0.444899405
kolhapur,1.531674907,0.739128811,0.792546096
sindhudurg,1.40862314,0.632545644,0.776077496
thane,3.51519111,1.597536193,1.253627781
palghar,2.015211138,1.112239022,0.902972116
nandurbar,1.936180535,1.1061674,0.830013135
amravati,1.132570579,0.452234552,0.680336027
dhule,0.703409115,0.475721838,0.227687277
nagpur,1.535057736,1.136796464,0.398261272
aurangabad,0.75855332,0.771925606,0.013372286
raigarh,2.063545631,1.597536193,0.036610841
mumbai suburban,0.915654785,0.914657543,0.000997242
kamjong,0.610853038,0.129302233,0.481550805
senapati,0.710207411,0.0,0.710207411
tamenglong,1.701837152,0.006002374,1.695834778
imphal west,3.366895401,0.042914083,3.323981318
kakching,3.624802358,0.104413907,3.520388451
bishnupur,3.487839839,1.597536193,0.000998427
chandel,0.632996,0.002124825,0.630871175
churachandpur,1.167264968,0.2279733,0.939291668
imphal east,8.323627750875,0.032628883,7.660317975750001
jiribam,5.343630309,0.111022838,5.232607471
kangpokpi,0.701396511,0.166897675,0.534498836
thoubal,8.323627750875,0.052982735,7.660317975750001
tengnoupal,0.539127806,0.0,0.539127806
ukhrul,0.669906789,0.0,0.669906789
noney,2.73207358,0.05487921,2.67719437
pherzawl,2.387954764,0.021159458,2.366795306
ribhoi,1.874505797,0.159366599,1.715139198
west khasi hills,1.198133343,0.006185816,1.191947527
east jaintia hills,1.649728103,0.02228155,1.627446553
east khasi hills,1.226830999,0.077062889,1.14976811
south garo hills,1.298508569,0.025829871,1.272678698
west garo hills,1.111942423,0.032280391,1.079662032
east garo hills,0.691122728,0.004744409,0.686378319
west jaintia hills,1.733990094,0.091584225,1.642405869
south west khasi hills,1.814196952,0.045431517,1.768765435
north garo hills,1.505747627,0.0,1.505747627
south west garo hills,3.341603843,0.001275329,3.340328514
kolasib,1.964392845,0.380323566,1.584069279
aizawl,2.162077627,0.096288881,2.065788746
mamit,1.381857077,0.0,1.381857077
champhai,0.919185436,0.0,0.919185436
serchhip,1.328475491,0.0,1.328475491
lunglei,2.6734292,0.01244799,2.66098121
saiha,2.96841934,0.016731928,2.951687412
lawngtlai,2.814060532,0.021722019,2.792338513
mon,2.746283665,0.00464644,2.741637225
longleng,2.847941427,0.010400483,2.837540944
mokokchung,1.200974196,0.0,1.200974196
tuensang,0.650005813,0.0,0.650005813
kiphire,1.066560501,0.0,1.066560501
peren,0.587829484,0.001342531,0.586486953
wokha,2.044958036,0.491956258,1.553001778
zunheboto,0.640526895,0.0,0.640526895
phek,1.968885678,0.002356585,1.966529093
kohima,0.321623488,0.0,0.321623488
dimapur,1.720970931,0.004473913,1.716497018
bhadrak,8.323627750875,1.597536193,7.660317975750001
dhenkanal,1.607306371,0.725516959,0.881789412
jajapur,8.323627750875,0.632633041,7.660317975750001
subarnapur,3.493045358,1.212807104,2.280238254
nuapada,1.647190051,0.35257892,1.294611131
balangir,1.245116533,0.149789566,1.095326967
baudh,2.608651472,0.899336006,1.709315466
cuttack,8.323627750875,1.597536193,7.660317975750001
kandhamal,0.573783436,0.032063654,0.541719782
nayagarh,4.840654376,0.392848482,4.447805894
khordha,3.367308168,1.214771584,2.152536584
kalahandi,0.969360733,0.57131064,0.398050093
jagatsinghapur,3.152171799,1.597536193,0.078061187
puri,8.323627750875,1.597536193,0.32180646
nabarangapur,0.945022433,0.509433477,0.435588956
rayagada,1.514776096,0.065376151,1.449399945
koraput,1.383903026,1.198572767,0.185330259
malkangiri,1.711137196,1.597536193,0.073061589
anugul,1.964959616,1.597536193,0.272277764
