District,Latitude,Longitude,elevation
North Tripura,24.342116,92.017914,32
North 24 Parganas,22.724797,88.507529,10
Nuapada,20.819327,82.555776,344
Osmanabad,18.181663,76.041686,656
Pachim Sionghum,22.554553,85.808737,229
Pakaur,24.635842,87.834711,41
Palakkad,10.772089,76.658319,91
Palamu,24.040242,84.069328,225
Pali,25.777043,73.322215,216
Panch Mahals,22.772915,73.60953,123
Panchkula,30.722619,76.880191,387
Panipat,29.387951,76.968552,236
Panna,24.719464,80.189266,410
Papum Pare,27.101465,93.597901,372
Parbhani,19.268358,76.777025,418
Paschim Medinapur,22.42833,87.323882,44
Paschim Champaran,26.804014,84.510335,78
Patan,23.845103,72.111466,81
Pathanamthitta,9.294782,76.75528,77
Patiala,30.317367,76.407038,252
Patna,25.603125,85.119195,57
Perambalur,11.243109,78.866417,132
Phek,25.701797,94.465739,1323
Pilibhit,28.634994,79.812128,188
Pithoragarh,29.583696,80.203698,1578
Pondicherry,11.935363,79.83229,6
Porbandar,21.636581,69.59674,0
Prakasam,15.514451,80.048738,12
Pratapgarh,25.93741,81.995137,94
Pudukkottai,10.383944,78.81216,99
Punch,33.773791,74.081247,1009
Pune,18.525994,73.862602,556
Purba Champaran,26.653574,84.925161,69
Purba Medinapur,22.301044,87.919817,6
East Singbhum,22.799522,86.197389,159
Puri,19.79549,85.838807,4
Purnia,25.777226,87.47066,41
Puruliya,23.332193,86.366718,246
Rae Bareli,26.231689,81.230631,114
Raichur,16.207752,77.358779,406
Raigarh,21.908949,83.395958,222
Raigarh,18.646539,72.875994,4
Raipur,21.227374,81.629069,295
Raisen,23.33011,77.780588,451
Rajgarh,24.005868,76.739744,378
Rajkot,22.295207,70.805355,133
Rajnandgaon,21.089426,81.034625,304
Rajsamand,25.075336,73.860393,565
Ramanathapuram,9.363516,78.840969,9
Rampur,28.791807,79.029148,191
Ranchi,23.363068,85.340321,635
Ratlam,23.327034,75.040755,484
Ratnagiri,16.990597,73.297537,21
Rayagada,19.165286,83.412105,223
Rewa,24.540725,81.288305,300
Rewari,28.198138,76.615433,247
Ri Bhoi,25.915944,91.88132,589
Rohtak,28.888214,76.587935,223
Rohtas,24.92088,84.039698,154
Rudraprayag,30.29541,78.986665,817
Rupnagar,30.964466,76.526375,275
